Person.ID.0,Country.of.Birth.0,Home.Language.0,Year.of.Birth.0,Dept.No..0,With.PHD.0,Faculty.No..0
357,Australia,,1960,2853,True,25
362,Australia,,1960,2548,True,25
367,,,1960,,False,
407,Australia,,1955,2713,False,25
417,Australia,,1940,593,False,7
432,,,1960,,False,
462,Australia,,1960,2813,False,25
522,Australia,,1965,3123,True,31
537,Australia,,1965,2653,True,25
547,Australia,,1960,2053,True,19
557,Australia,,1960,2813,False,25
577,,,1965,,False,
592,Australia,,1955,3028,True,31
612,Australia,,1960,3123,True,31
647,Australia,,1965,2553,True,25
712,Great Britain,,1970,1678,True,13
752,Australia,,1960,3658,True,22
837,Australia,,1965,2298,False,46
842,Australia,,1975,828,False,7
857,Australia,,1965,2558,True,25
907,Western Europe,,1955,548,False,7
917,Australia,,1960,3123,False,31
977,Australia,,1965,2523,False,25
987,Australia,,1945,528,True,7
1012,Australia,English,1945,3123,True,31
1052,,,1975,,False,
1117,Australia,,1955,1038,True,1
1162,Middle East and Africa,,1970,2103,True,19
1192,Australia,,1965,1033,False,1
1217,Australia,English,1960,3028,True,31
1222,Western Europe,,1965,3098,False,31
1232,Australia,,1950,1038,False,1
1257,,,1945,,False,
1277,Australia,English,1955,653,False,7
1302,Australia,,1970,3028,True,31
1307,,,1960,,False,
1367,North America,,1945,803,False,7
1382,Australia,,1975,2053,True,19
1387,Australia,,1945,1528,False,13
1407,Australia,,1955,2543,False,25
1547,Australia,,1970,2548,True,25
1562,,,1970,,False,
1582,Australia,English,1970,3048,False,31
1617,Australia,,1965,3098,False,31
1642,Australia,,1965,2563,False,25
1687,Great Britain,,1960,2603,True,25
1697,,,1965,,False,
1737,Australia,,1965,2533,True,25
1752,Australia,,1970,2163,True,19
1757,Asia Pacific,,1950,2923,False,25
1797,North America,,1960,2678,True,25
1812,Australia,,1955,3048,True,31
1862,Great Britain,,1950,2853,True,25
1882,,,1970,,False,
1937,Australia,,1970,2153,True,19
1952,Australia,,1955,1663,False,13
1977,North America,,1965,548,True,7
1982,Australia,,1960,3258,True,31
2002,South Africa,,1950,2178,True,19
2022,Australia,,1965,2668,True,25
2052,Australia,,1960,2628,False,25
2087,Australia,,1960,3248,True,31
2107,Australia,English,1960,528,True,7
2117,Australia,English,1970,653,True,7
2192,Australia,,1970,3658,False,22
2232,Australia,,1955,2653,False,25
2252,Australia,,1960,3658,False,22
2262,Australia,,1970,2578,True,25
2277,Australia,,1960,2163,True,19
2317,Australia,,1955,1098,False,1
2357,Great Britain,,1945,2298,False,46
2367,Asia Pacific,English,1970,2153,True,19
2427,North America,,1960,593,True,7
2477,Australia,,1965,2668,True,25
2507,Australia,,1950,1578,True,13
2557,,,1935,,False,
2577,Australia,,1950,2558,False,25
2637,,,1955,,False,
2697,Eastern Europe,,1955,2153,True,19
2707,Australia,,1960,2163,True,19
2712,Australia,,1965,2563,True,25
2832,,,1960,,False,
2907,Australia,,1970,1258,True,34
2982,Eastern Europe,,1950,2668,True,25
3047,Australia,,1955,528,False,7
3062,Western Europe,,1960,2153,True,19
3067,,,1950,,False,
3167,Australia,,1950,2668,True,25
3182,Australia,,1965,2523,True,25
3207,Australia,,1970,2678,False,25
3292,Australia,,1945,828,True,7
3327,Australia,,1950,1578,True,13
3362,Australia,,1970,2603,True,25
3537,,,1955,,False,
3597,Australia,,1960,2813,False,25
3637,New Zealand,,1960,118,False,118
3687,Australia,,1945,653,False,7
3692,Australia,,1945,2828,False,25
3762,Australia,,1960,3198,True,31
3812,Australia,,1960,2298,True,46
3862,,,1950,,False,
3867,Australia,,1940,2603,False,25
4082,Australia,,1960,2678,True,25
4102,Australia,,1955,2948,True,25
4167,Australia,English,1955,2768,False,25
4192,,,1965,,False,
4222,Australia,,1960,2768,False,25
4247,Australia,,1950,2298,False,46
4302,Australia,,1965,3198,True,31
4387,Australia,,1955,2298,True,46
4412,,,1940,,False,
4492,Australia,,1950,2558,True,25
4502,Australia,,1955,2668,False,25
4572,Australia,,1955,2713,False,25
4702,Australia,,1960,1033,True,1
4717,,,1965,,False,
4747,,,1960,,False,
4757,,,1945,,False,
4762,Great Britain,,1950,593,True,7
4777,Australia,,1960,2763,False,25
4797,Australia,,1965,2853,False,25
4832,Australia,,1945,2893,False,25
4842,Asia Pacific,,1970,2153,True,19
4877,,,1960,,False,
4882,Australia,,1965,2298,True,46
4902,Australia,,1950,2053,True,19
4962,,,1955,,False,
4987,,,1965,,False,
4992,Australia,,1960,2853,True,25
5042,Australia,,1960,2763,True,25
5092,Australia,,1960,3198,True,31
5107,Asia Pacific,,1960,2653,False,25
5117,Australia,,1960,2553,True,25
5137,,,1960,,False,
5142,Australia,,1960,593,True,7
5162,Australia,,1940,,False,7
5222,Australia,,1940,3268,False,31
5232,Australia,,1955,2578,True,25
5242,Australia,,1945,2713,False,25
5267,Australia,,1975,2298,True,46
5287,Australia,,1960,3123,True,31
5302,Australia,,1970,1578,True,13
5307,Asia Pacific,,1960,548,True,7
5382,Asia Pacific,,1965,3198,False,31
5397,Australia,,1975,2153,True,19
5427,,,1965,,False,
5442,,,1975,,False,
5552,Australia,,1955,548,True,7
5582,Australia,,1960,3048,True,31
5672,Australia,,1965,2768,False,25
5702,Australia,,1940,2853,False,25
5737,Australia,,1975,2558,True,25
5777,Australia,,1970,2533,True,25
5807,,,1950,,False,
5812,North America,English,1965,2153,False,19
5852,Australia,,1950,1253,True,34
5882,Australia,,1955,528,True,7
5927,Australia,,1965,3508,True,4
5967,Australia,,1955,2923,True,25
5992,,,1940,,False,
6012,Australia,English,1955,1038,True,1
6077,Australia,English,1955,4188,False,64
6117,Asia Pacific,,1950,188,False,79
6192,,,1935,,False,
6232,Australia,,1965,2153,True,19
6242,Asia Pacific,Other,1955,2548,False,25
6282,Australia,,1980,2678,True,25
6292,Western Europe,,1965,2578,True,25
6327,Australia,,1955,653,False,7
6332,Australia,,1945,2678,False,25
6377,Great Britain,,1965,1038,True,1
6392,Australia,English,1970,2298,False,46
6397,Great Britain,English,1960,828,True,7
6502,Australia,,1940,653,False,7
6562,South Africa,English,1955,2053,False,19
6712,Australia,,1950,2563,False,25
6742,Australia,,1940,2653,False,25
6747,Australia,English,1955,3268,True,31
